category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,sign,Enriched group
Human Diseases,Neurodegenerative disease,mmu05014,Amyotrophic lateral sclerosis - Mus musculus (house mouse),98/1643,375/9577,0.261333333,1.523304524,4.704286478,5.38E-06,2.95E-05,2.06E-05,Cox5a/Tubb6/Tubb5/Psmc3/Daxx/Tomm40/Rab8a/Bax/Bid/Hnrnpa2b1/Ndufs3/Psmd4/Psmb4/Hap1/Sdhb/Nxf2/Psmb1/Psma2/Nup50/Psmd3/Psmb6/Pfn1/Tbk1/Nefh/Psmc5/Psmd12/Psma6/Eif2s1/Ppp3cc/Psmb5/Derl1/Cyc1/Tuba1b/Tnf/Alyref/Ndufb8/Ddit3/Uqcrc1/Casp1/Tuba4a/Ndufa10/Psmb7/Kif5c/Hspa5/Ndufa8/Psmd14/Traf2/Nup35/Rae1/Psma7/C9orf72/Ncbp1/Tnfrsf1b/Psmb2/Psmc2/Actb/Nup210/Psmd8/Psmc4/Psma1/Cox7b/Casp3/Cox4i1/Psma4/Nup93/Ndufb7/Nup54/Nup37/Nxt1/Nup205/Adrm1/Psmd7/Nup43/Cox6a1/Atf4/Tuba1c/Uqcrq/Hnrnpa1/Smcr8/Tubb2a/Ndufs8/Cox5b/Cycs/Gpx1/Tank/Psma5/Psmb3/Ndufb6/Nrbf2/Nup62/Ndufb1/Apaf1/Nos2/Nup153/Atxn2l/Nup188/Pom121/Trp53,98,yes,Severe
Metabolism,Global and overview maps,mmu01232,Nucleotide metabolism - Mus musculus (house mouse),31/1643,84/9577,0.369047619,2.151168014,4.822157255,1.10E-05,5.96E-05,4.15E-05,Ampd3/Aprt/Ada/Cmpk2/Rrm2/Nt5c/Nme2/Adsl/Xdh/Tk1/Tyms/Dtymk/Dut/Cmpk1/Ak2/Dck/Nt5c3/Rrm1/Dctd/Nme6/Entpd6/Enpp1/Nme1/Dctpp1/Gda/Impdh2/Itpa/Ak6/Pnp/Lacc1/Entpd1,31,yes,Severe
Human Diseases,Neurodegenerative disease,mmu05012,Parkinson disease - Mus musculus (house mouse),75/1643,274/9577,0.273722628,1.595521367,4.551199485,1.23E-05,6.52E-05,4.54E-05,Cox5a/Tubb6/Tubb5/Uba1/Psmc3/Daxx/Keap1/Bax/Txn2/Ndufs3/Psmd4/Psmb4/Ube2g2/Sdhb/Psmb1/Psma2/Slc25a5/Psmd3/Psmb6/Adora2a/Rps27a/Psmc5/Psmd12/Psma6/Eif2s1/Vdac2/Ppif/Slc39a14/Psmb5/Cyc1/Tuba1b/Ndufb8/Ddit3/Uqcrc1/Tuba4a/Ndufa10/Psmb7/Kif5c/Hspa5/Ndufa8/Psmd14/Ube2l6/Psma7/Ube2j1/Psmb2/Psmc2/Psmd8/Psmc4/Psma1/Cox7b/Casp3/Cox4i1/Psma4/Uba7/Ndufb7/Adrm1/Psmd7/Cox6a1/Atf4/Tuba1c/Uqcrq/Tubb2a/Ndufs8/Cox5b/Cycs/Htra2/Psma5/Psmb3/Ndufb6/Slc39a2/Uba52/Ndufb1/Apaf1/Ube2j2/Trp53,75,yes,Severe
Organismal Systems,Immune system,mmu04622,RIG-I-like receptor signaling pathway - Mus musculus (house mouse),28/1643,73/9577,0.383561644,2.23576985,4.822925614,1.26E-05,6.58E-05,4.58E-05,Trim25/Il12b/Dhx58/Tbk1/Nfkbia/Traf3/Ripk1/Map3k1/Sting1/Tnf/Irf7/Casp8/Ifih1/Traf2/Adar/Nfkbib/Ikbkb/Cxcl10/Isg15/Cyld/Azi2/Znfx1/Rigi/Ikbke/Tank/Nfkb1/Atg5/Ifnb1,28,yes,Severe
Cellular Processes,Cell growth and death,mmu04217,Necroptosis - Mus musculus (house mouse),53/1643,177/9577,0.299435028,1.745398214,4.554868114,1.63E-05,8.40E-05,5.85E-05,Fasl/Irf9/Bax/Stat3/Stat5a/Bid/Mlkl/Cybb/Macroh2a1/Slc25a5/Alox15/Tnfaip3/Ripk1/Vdac2/Ripk3/Sharpin/Ifngr2/Ifnar2/Eif2ak2/Tnf/Jak2/Casp1/Casp8/Stat1/Traf2/Il1b/Rbck1/Zbp1/Pycard/Jak3/Birc3/Tyk2/Nlrp3/Pla2g4c/Cyld/H2az1/Chmp4b/Stat2/Rnf31/Ticam1/H2ax/Ifng/Ticam2/Birc2/Stat4/Ppia/H2ac24/Stat6/Hsp90aa1/Hsp90ab1/Tlr4/Spata2/Ifnb1,53,yes,Severe
Genetic Information Processing,Replication and repair,mmu03430,Mismatch repair - Mus musculus (house mouse),13/1643,23/9577,0.565217391,3.294636005,5.013602009,2.21E-05,0.000112002,7.80E-05,Rpa1/Pold2/Rfc4/Rfc2/Pold4/Pcna/Rpa2/Rfc5/Pold3/Rfc3/Pold1/Exo1/Lig1,13,yes,Severe
Cellular Processes,Cell growth and death,mmu04218,Cellular senescence - Mus musculus (house mouse),53/1643,183/9577,0.289617486,1.688172043,4.277224489,4.50E-05,0.000224919,0.000156677,Foxm1/Ccne1/Tgfb1/Ppp1cc/Cdk4/E2f4/H2-M3/Slc25a5/Mapkapk2/Mybl2/Traf3ip2/Cdk1/Vdac2/Ppp3cc/Myc/Cdkn1a/Rad9a/Cdk2/Il6/Rassf5/E2f1/Nfatc2/Rbl1/Ccna2/Ccne2/Chek1/Ccnb2/Cdc25a/Nfatc1/Ccnd3/Map2k2/H2-Q4/Lin37/Pik3cd/Ppp1ca/Ccnb1/H2-T24/H2-T22/Lin9/H2-Q7/H2-K1/H2-T23/H2-Q10/H2-Bl/H2-Q6/H2-D1/H2-T10/H2-Q1/H2-Q2/Raf1/Map2k1/Nfkb1/Trp53,53,yes,Severe
Human Diseases,Cancer: specific types,mmu05221,Acute myeloid leukemia - Mus musculus (house mouse),26/1643,70/9577,0.371428571,2.165046518,4.451796375,4.88E-05,0.000240615,0.000167611,Tcf7/Spi1/Stat3/Stat5a/Fcgr1/Myc/Pim1/Csf1r/Rps6kb2/Ccna2/Itgam/Pim2/Ikbkb/Map2k2/Pml/Pik3cd/Flt3/Bcl2a1c/Grb2/Bcl2a1b/Bcl2a1d/Bcl2a1a/Raf1/Map2k1/Nfkb1/Cebpe,26,yes,Severe
Human Diseases,Infectious disease: bacterial,mmu05150,Staphylococcus aureus infection - Mus musculus (house mouse),40/1643,128/9577,0.3125,1.821553561,4.258069002,6.08E-05,0.000295386,0.000205764,Itgb2/Fcgr1/Il10/Krt18/C3/H2-Oa/C2/Selp/Fcgr2b/Itgam/Itgal/H2-Ea/H2-Aa/C1qa/C1qc/C1qb/H2-DMb2/H2-DMa/C1s1/C3ar1/H2-Ob/Selplg/C5ar1/Fpr2/Krt16/C1ra/Ptafr/Fcgr4/Fcgr3/H2-Eb1/H2-Eb2/C4b/H2-Ab1/AY761185/C1s2/H2-DMb1/Fpr3/Cfb/C1rb/Icam1,40,yes,Severe
Metabolism,Global and overview maps,mmu01230,Biosynthesis of amino acids - Mus musculus (house mouse),28/1643,79/9577,0.35443038,2.065964545,4.329173338,6.74E-05,0.000322906,0.000224934,Eno2/Cs/Pgam1/Tha1/Arg1/Pfkl/Arg2/Pfkp/Tpi1/Psat1/Aldh18a1/Pycr1/Got1/Shmt2/Taldo1/Idh3b/Bcat1/Aldoa/Got2/Pkm/Phgdh/Rpia/Gapdh/Eno1b/Pgk1/Eno1/Ass1/Prps1l3,28,yes,Severe
Genetic Information Processing,Replication and repair,mmu03440,Homologous recombination - Mus musculus (house mouse),18/1643,42/9577,0.428571429,2.498130597,4.427705458,8.24E-05,0.000388999,0.000270974,Rpa1/Brca1/Pold2/Pold4/Uimc1/Bard1/Rad51/Rad54l/Rpa2/Blm/Pold3/Topbp1/Brip1/Pold1/Eme1/Brca2/Palb2/Rad54b,18,yes,Severe
Cellular Processes,Cell growth and death,mmu04115,p53 signaling pathway - Mus musculus (house mouse),26/1643,75/9577,0.346666667,2.020710083,4.038222795,0.00018378,0.000855962,0.000596258,Zfp385a/Ccne1/Bax/Bid/Cdk4/Cdk1/Igf1/Rrm2/Gtse1/Cdkn1a/Cdk2/Pidd1/Shisa5/Casp8/Ccne2/Casp3/Chek1/Ccnb2/Ccnd3/Ccnb1/Sfn/Cycs/Serpinb5/Apaf1/Thbs1/Trp53,26,yes,Severe
Environmental Information Processing,Signal transduction,mmu04066,HIF-1 signaling pathway - Mus musculus (house mouse),36/1643,117/9577,0.307692308,1.79352966,3.929843711,0.00019706,0.00090541,0.000630704,Hk2/Timp1/Stat3/Eno2/Hmox1/Cybb/Igf1/Pfkl/Hif1a/Pfkp/Ifngr2/Cdkn1a/Rps6kb2/Il6/Hk3/Eif4e2/Pfkfb3/Eif4e/Rps6/Slc2a1/Aldoa/Vhl/Plcg2/Map2k2/Pik3cd/Prkcb/Ifng/Gapdh/Eno1b/Pgk1/Ldha/Eno1/Map2k1/Nos2/Nfkb1/Tlr4,36,yes,Severe
Metabolism,Nucleotide metabolism,mmu00240,Pyrimidine metabolism - Mus musculus (house mouse),21/1643,56/9577,0.375,2.185864273,4.049976174,0.000217765,0.000987202,0.00068768,Cad/Cmpk2/Rrm2/Nt5c/Nme2/Umps/Tk1/Tyms/Dtymk/Dut/Cmpk1/Dck/Nt5c3/Rrm1/Dctd/Nme6/Entpd6/Enpp1/Nme1/Dctpp1/Entpd1,21,yes,Severe
Cellular Processes,Cell growth and death,mmu04215,Apoptosis - multiple species - Mus musculus (house mouse),14/1643,32/9577,0.4375,2.550174985,3.996984826,0.000391083,0.001749583,0.00121875,Ngfr/Bax/Bid/Birc5/Casp7/Casp8/Bcl2l11/Casp3/Birc3/Birc2/Bak1/Cycs/Htra2/Apaf1,14,yes,Severe
Genetic Information Processing,Replication and repair,mmu03410,Base excision repair - Mus musculus (house mouse),18/1643,47/9577,0.382978723,2.232372023,3.853976495,0.000448641,0.001981013,0.001379962,Pole/Pold2/Pole2/Tdp1/Rfc4/Rfc2/Fen1/Pold4/Pcna/Rfc5/Ung/Pole4/Pold3/Rfc3/Apex1/Pold1/Neil3/Lig1,18,yes,Severe
Genetic Information Processing,Replication and repair,mmu03460,Fanconi anemia pathway - Mus musculus (house mouse),19/1643,52/9577,0.365384615,2.129816471,3.717421734,0.000627265,0.002734234,0.001904652,Rpa1/Brca1/Polh/Ube2t/Rad51/Usp1/Rpa2/Faap24/Blm/Fanca/Fancd2/Brip1/Rmi2/Eme1/Fanci/Brca2/Palb2/Cenps/Slx4,19,yes,Severe
Human Diseases,Cancer: specific types,mmu05222,Small cell lung cancer - Mus musculus (house mouse),29/1643,94/9577,0.308510638,1.798299685,3.539335743,0.000756976,0.003257871,0.002269415,Ccne1/Bax/Zbtb17/Cdk4/Traf4/Nfkbia/Traf3/Myc/Cdkn1a/Cdk2/Traf1/Traf2/E2f1/Cks1b/Ccne2/Ikbkb/Casp3/Birc3/Pik3cd/Skp2/Birc2/Bak1/Max/Cks2/Cycs/Apaf1/Nos2/Nfkb1/Trp53,29,yes,Severe
Cellular Processes,Transport and catabolism,mmu04148,Efferocytosis - Mus musculus (house mouse),44/1643,163/9577,0.26993865,1.573464671,3.360300566,0.001010967,0.004246679,0.002958213,Tgfb1/Calr/Ptpn6/Mapkapk2/Il10/Alox15/Rab5c/Arg1/Havcr2/Hif1a/Arg2/Gpr132/Jak2/Casp7/Casp1/Dusp2/Nfatc2/Slc2a1/Slc66a1/Casp3/Panx1/Slc16a1/Nfatc1/Dusp5/Map2k2/P2ry12/C1qa/C1qc/C1qb/Sirpa/Ptger4/Havcr1/P2ry6/Ch25h/Timd4/Sirpb1c/Sirpb1b/Sirpb1a/Map2k1/Crkl/Itgb3/Vps18/Thbs1/Adam17,44,yes,Severe
Metabolism,Global and overview maps,mmu01200,Carbon metabolism - Mus musculus (house mouse),35/1643,122/9577,0.286885246,1.672245892,3.400494352,0.001011709,0.004246679,0.002958213,Hk2/Eno2/Cs/Sdhb/Pgam1/Mdh2/Pfkl/Pfkp/Esd/Tpi1/Me2/Psat1/Gldc/Got1/Adpgk/Shmt2/Taldo1/Hk3/Fh1/Idh3b/Pgd/Aldoa/G6pdx/Got2/Pgls/Pkm/Gpi1/Idnk/Phgdh/Rpia/Gapdh/Eno1b/Pgk1/Eno1/Prps1l3,35,yes,Severe
Human Diseases,Neurodegenerative disease,mmu05017,Spinocerebellar ataxia - Mus musculus (house mouse),39/1643,141/9577,0.276595745,1.612268683,3.332900812,0.001162739,0.004821111,0.003358359,Psmc3/Psmd4/Psmb4/Psmb1/Psma2/Slc25a5/Psmd3/Psmb6/Psmc5/Psmd12/Psma6/Vdac2/Ppif/Psmb5/Afg3l2/Psmb7/Psmd14/Traf2/Nop56/Psma7/Psmb2/Psmc2/Psmd8/Ryr1/Psmc4/Psma1/Afg3l1/Psma4/Adrm1/Psmd7/Pik3cd/Plcb2/Prkcb/Cycs/Psma5/Psmb3/Nrbf2/Nfya/Atxn2l,39,yes,Severe
Human Diseases,Infectious disease: parasitic,mmu05143,African trypanosomiasis - Mus musculus (house mouse),15/1643,39/9577,0.384615385,2.241912075,3.536382611,0.001254504,0.00513893,0.00357975,Fasl/Il12b/Il10/Tnf/Il6/Il1b/Vcam1/Ido1/Myd88/Plcb2/Tlr9/Prkcb/Ifng/Kng2/Icam1,15,yes,Severe
Cellular Processes,Transport and catabolism,mmu04144,Endocytosis - Mus musculus (house mouse),66/1643,270/9577,0.244444444,1.424859674,3.222458173,0.001283069,0.005193375,0.003617676,Acap1/Rab8a/Snf8/Arpc2/Ap2s1/Arpc5/H2-M3/Cyth1/Cyth4/Rab5c/Cblb/Grk2/Agap2/Cxcr2/Actr3/Arpc5l/Kif5c/Il2ra/Psd4/Snx5/Clta/Capzb/Arpc3/Rab35/Arpc1b/Il2rg/Ist1/Mvb12a/Snx1/Folr2/Smap2/Epn1/H2-Q4/Pml/Asap3/Chmp4b/Iqsec3/Sh3kbp1/Arf6/H2-T24/H2-T22/Arrb2/H2-Q7/H2-K1/Vps37b/H2-T23/H2-Q10/Il2rb/Capza1/H2-Bl/H2-Q6/H2-D1/Grk6/Wipf1/Ccr5/Arpc4/H2-T10/H2-Q1/H2-Q2/Hspa1a/Sh3gl1/Hspa8/Snx3/Spg21/Arap1/Washc4,66,yes,Severe
Human Diseases,Neurodegenerative disease,mmu05022,Pathways of neurodegeneration - multiple diseases - Mus musculus (house mouse),108/1643,481/9577,0.224532225,1.308791914,3.162117355,0.001313415,0.005253662,0.003659671,Cox5a/Fasl/Tubb6/Tubb5/Uba1/Psmc3/Daxx/Tomm40/Rab8a/Bax/Bid/Ndufs3/Psmd4/Psmb4/Hap1/Ube2g2/Sdhb/Psen2/Csf1/Psmb1/Cybb/Psma2/Slc25a5/Psmd3/Psmb6/Psen1/Tbk1/Nefh/Rps27a/Psmc5/Psmd12/Psma6/Eif2s1/Vdac2/Ppif/Ppp3cc/Psmb5/Derl1/Cyc1/Tuba1b/Tnf/Casp7/Ndufb8/Ddit3/Uqcrc1/Il6/Casp8/Tuba4a/Ndufa10/Cacna1s/Psmb7/Kif5c/Hspa5/Ndufa8/Psmd14/Traf2/Ube2l6/Il1b/Psma7/Ube2j1/C9orf72/Tnfrsf1b/Psmb2/Psmc2/Htt/Psmd8/Ryr1/Psmc4/Psma1/Cox7b/Casp3/Cox4i1/Psma4/Uba7/Ndufb7/Map2k2/Adrm1/Psmd7/Plcb2/Cox6a1/Atf4/Tuba1c/Uqcrq/Csnk2a2/Smcr8/Prkcb/Bak1/Tubb2a/Ndufs8/Cox5b/Cycs/Gpx1/Tank/Htra2/Psma5/Psmb3/Ndufb6/Nrbf2/Uba52/Ndufb1/Raf1/Map2k1/Apaf1/Nos2/Ube2j2/Axin1/Nfkb1/Atxn2l,108,yes,Severe
Human Diseases,Immune disease,mmu05322,Systemic lupus erythematosus - Mus musculus (house mouse),40/1643,150/9577,0.266666667,1.554392372,3.114159656,0.002139019,0.008456586,0.005890811,Snrpd1/Macroh2a1/Fcgr1/Il10/Cd40/Cd86/C3/H2-Oa/C2/Tnf/Cd28/Trim21/Cd40lg/H2-Ea/H2-Aa/C1qa/C1qc/C1qb/H2-DMb2/H2-DMa/H2az1/C1s1/H2-Ob/H2ax/Ifng/C1ra/Fcgr4/Fcgr3/H2-Eb1/H2-Eb2/C4b/H2-Ab1/Cd80/C1s2/H2-DMb1/H2ac24/C1rb/H3c8/Actn1/H4c18,40,yes,Severe
Genetic Information Processing,Translation,mmu03013,Nucleocytoplasmic transport - Mus musculus (house mouse),33/1643,118/9577,0.279661017,1.630136068,3.13413343,0.002207377,0.00862653,0.006009193,Xpo6/Kpnb1/Nxf2/Ube2i/Nup50/Sumo3/Rangap1/Alyref/Nup35/Rae1/Nmd3/Ncbp1/Ran/Nup210/Magohb/Nup93/Rnps1/Nup54/Nup37/Aaas/Nxt1/Eef1a1/Rbm8a/Nup205/Nup43/Thoc6/Pym1/Xpo5/Nup62/Nup153/Kpna4/Nup188/Pom121,33,yes,Severe
Genetic Information Processing,"Folding, sorting and degradation",mmu03018,RNA degradation - Mus musculus (house mouse),25/1643,83/9577,0.301204819,1.755714275,3.146565748,0.002456748,0.00949198,0.00661206,Eno2/Lsm2/Pfkl/Pnpt1/Pfkp/Dcp1a/Pabpc1/Hspa9/Cnot9/Exosc8/Exosc3/Lsm4/Dcps/Btg1/Lsm1/Exosc2/Patl1/Eno1b/Exosc5/Eno1/Exosc10/Cnot8/Exosc1/Tent4a/Cnot4,25,yes,Severe
Organismal Systems,Nervous system,mmu04722,Neurotrophin signaling pathway - Mus musculus (house mouse),33/1643,121/9577,0.272727273,1.589719471,2.970634175,0.003422429,0.013074449,0.009107588,Ngfr/Fasl/Bax/Matk/Sh2b2/Psen2/Mapkapk2/Psen1/Irak3/Nfkbia/Map3k1/Prkcd/Nfkbie/Arhgdia/Ntrk1/Arhgdib/Nfkbib/Ikbkb/Plcg2/Map2k2/Camk4/Pik3cd/Ripk2/Atf4/Rap1b/Irak4/Grb2/Raf1/Rps6ka1/Map2k1/Crkl/Nfkb1/Trp53,33,yes,Severe
Cellular Processes,Transport and catabolism,mmu04142,Lysosome - Mus musculus (house mouse),36/1643,136/9577,0.264705882,1.542963016,2.901986958,0.003957881,0.014951997,0.010415478,Gm2a/Acp5/Tcirg1/Acp2/Psap/Ctse/Man2b1/Neu1/M6pr/Galns/Ctsz/Ctsa/Cd68/Lgmn/Hexb/Ctsb/Litaf/Atp6v0c/Ctsw/Gusb/Slc11a1/Clta/Laptm5/Ctsc/Gla/Ctsh/Ctss/Ap1g2/Psapl1/Ctsd/Ap3b1/Npc1/Gnptab/Atp6v0a2/Ncoa7/Ap1s3,36,yes,Severe
Human Diseases,Neurodegenerative disease,mmu05016,Huntington disease - Mus musculus (house mouse),71/1643,308/9577,0.230519481,1.343691458,2.789924223,0.004305439,0.016086257,0.011205597,Cox5a/Tubb6/Tubb5/Psmc3/Bax/Ndufs3/Psmd4/Psmb4/Hap1/Ap2s1/Sdhb/Psmb1/Psma2/Slc25a5/Psmd3/Psmb6/Psmc5/Psmd12/Psma6/Vdac2/Ppif/Psmb5/Cyc1/Tuba1b/Ndufb8/Uqcrc1/Casp8/Tuba4a/Ndufa10/Psmb7/Kif5c/Ndufa8/Psmd14/Traf2/Creb3l1/Psma7/Clta/Hdac1/Psmb2/Psmc2/Htt/Psmd8/Psmc4/Psma1/Cox7b/Casp3/Cox4i1/Psma4/Polr2f/Ndufb7/Tgm2/Adrm1/Psmd7/Plcb2/Cox6a1/Tuba1c/Uqcrq/Creb5/Tubb2a/Ndufs8/Cox5b/Cycs/Gpx1/Psma5/Psmb3/Ndufb6/Nrbf2/Ndufb1/Apaf1/Rest/Trp53,71,yes,Severe
Genetic Information Processing,"Folding, sorting and degradation",mmu04141,Protein processing in endoplasmic reticulum - Mus musculus (house mouse),44/1643,176/9577,0.25,1.457242848,2.785999162,0.004992859,0.01845187,0.01285347,Ssr4/Calr/Bax/Dnajb11/Ube2g2/Pdia6/Eif2s1/Lman2/Derl1/Syvn1/Ddit3/Hspa5/Traf2/Pdia3/Nsfl1c/Ube2j1/Ddost/Erp29/Mogs/Sec61a1/Edem1/Hyou1/Ostc/Ssr2/Atf4/Preb/Sec61b/Bak1/Ube2d3/Sec61g/Hspa1a/Dnajb1/Atf6b/Hspa8/Hsp90aa1/Ube2j2/Hsp90ab1/Pdia4/Dnaja1/Rad23b/Plaa/Hsph1/Krtcap2/Fbxo6,44,yes,Severe
Organismal Systems,Immune system,mmu04664,Fc epsilon RI signaling pathway - Mus musculus (house mouse),20/1643,66/9577,0.303030303,1.766354968,2.842847782,0.005918359,0.02163701,0.01507222,Lcp2/Vav2/Fyn/Syk/Tnf/Inpp5d/Lat/Btk/Rac2/Pla2g4c/Vav1/Plcg2/Map2k2/Pik3cd/Lyn/Fcer1g/Grb2/Alox5ap/Raf1/Map2k1,20,yes,Severe
Human Diseases,Neurodegenerative disease,mmu05010,Alzheimer disease - Mus musculus (house mouse),86/1643,389/9577,0.221079692,1.288667198,2.645004991,0.006069373,0.02195305,0.015292373,Cox5a/Tubb6/Tubb5/Psmc3/Bid/Ndufs3/Psmd4/Psmb4/Sdhb/Psen2/Csf1/Psmb1/Cybb/Psma2/Slc25a5/Psmd3/Psmb6/Psen1/Psmc5/Psmd12/Psma6/Eif2s1/Vdac2/Ppif/Ppp3cc/Slc39a14/Psmb5/Cyc1/Tuba1b/Eif2ak2/Tnf/Casp7/Ndufb8/Ddit3/Uqcrc1/Il6/Casp8/Tuba4a/Ndufa10/Cacna1s/Psmb7/Kif5c/Ndufa8/Psmd14/Traf2/Il1b/Psma7/Psmb2/Psmc2/Psmd8/Psmc4/Psma1/Cox7b/Ikbkb/Casp3/Cox4i1/Psma4/Ndufb7/Map2k2/Adrm1/Psmd7/Pik3cd/Plcb2/Cox6a1/Atf4/Tuba1c/Uqcrq/Csnk2a2/Gapdh/Tubb2a/Ndufs8/Cox5b/Cycs/Psma5/Psmb3/Ndufb6/Slc39a2/Nrbf2/Ndufb1/Raf1/Map2k1/Apaf1/Nos2/Axin1/Nfkb1/Adam17,86,yes,Severe
Organismal Systems,Immune system,mmu04610,Complement and coagulation cascades - Mus musculus (house mouse),26/1643,94/9577,0.276595745,1.612268683,2.714550031,0.007194421,0.025748453,0.017936229,Itgb2/Plau/Clu/Serping1/C3/C2/F3/Itgam/Itgax/F10/Plat/C1qa/C1qc/C1qb/C1s1/C3ar1/Vsig4/Plaur/C5ar1/C1ra/Kng2/Serpinb2/C4b/C1s2/Cfb/C1rb,26,yes,Severe
Human Diseases,Infectious disease: parasitic,mmu05146,Amoebiasis - Mus musculus (house mouse),29/1643,108/9577,0.268518519,1.565186763,2.687921331,0.007366165,0.025828904,0.017992271,Itgb2/Tgfb1/Il12b/Il10/Rab5c/Arg1/Arg2/Serpinb9b/Tnf/Il6/Col3a1/Il1r2/Il1b/Tlr2/Cxcl3/Cxcl1/Itgam/Casp3/Gna15/Pik3cd/Plcb2/Serpinb9/Prkcb/Ifng/Cxcl2/Actn1/Nos2/Nfkb1/Tlr4,29,yes,Severe
Human Diseases,Endocrine and metabolic disease,mmu04936,Alcoholic liver disease - Mus musculus (house mouse),36/1643,141/9577,0.255319149,1.488248015,2.657791017,0.007368834,0.025828904,0.017992271,Tcf7/Fasl/Il17ra/Il12b/Tbk1/Map3k14/Nfkbia/Traf3/Ripk1/Tra2b/C3/C2/Tnf/Il6/Ly96/Il17a/Casp8/Il1b/Cxcl3/Cxcl1/Ikbkb/Casp3/Myd88/C1qa/C1qc/C1qb/C3ar1/Ikbke/Ticam1/C5ar1/Cxcl2/Irak4/C4b/Nfkb1/Tlr4/Ifnb1,36,yes,Severe
Metabolism,Carbohydrate metabolism,mmu00030,Pentose phosphate pathway - Mus musculus (house mouse),12/1643,34/9577,0.352941176,2.057284021,2.810304752,0.008390653,0.029110429,0.020278162,Pfkl/Pfkp/Taldo1/Pgd/Dera/Aldoa/G6pdx/Pgls/Gpi1/Idnk/Rpia/Prps1l3,12,yes,Severe
Human Diseases,Cancer: overview,mmu05230,Central carbon metabolism in cancer - Mus musculus (house mouse),20/1643,69/9577,0.289855072,1.689556926,2.615862042,0.010070009,0.03458387,0.024090931,Hk2/Pgam1/Pfkl/Hif1a/Pfkp/Myc/Slc16a3/Hk3/Ntrk1/Slc2a1/G6pdx/Pkm/Map2k2/Pik3cd/Slc7a5/Flt3/Ldha/Raf1/Map2k1/Trp53,20,yes,Severe
Genetic Information Processing,Translation,mmu03008,Ribosome biogenesis in eukaryotes - Mus musculus (house mouse),32/1643,125/9577,0.256,1.492216677,2.520659748,0.010642739,0.036185313,0.025206488,Nhp2/Nob1/Emg1/Nxf2/Rrp7a/Fcf1/Pop1/Lsg1/Tcof1/Nop58/Nop56/Eif6/Nmd3/Ran/Pop7/Rexo5/Rpp25l/Nxt1/Wdr43/Utp4/Utp15/Gnl3/Csnk2a2/Fbl/Snu13/Utp14a/Ak6/Bms1/Mphosph10/Wdr3/Efl1/Heatr1,32,yes,Severe
Organismal Systems,Immune system,mmu04613,Neutrophil extracellular trap formation - Mus musculus (house mouse),49/1643,209/9577,0.234449761,1.366600949,2.438417345,0.011560489,0.038916499,0.027109016,Itgb2/Cyba/Cybb/Macroh2a1/Fcgr1/Ncf1/Slc25a5/Syk/Vdac2/Ppif/Gsdmd/C3/Casp1/Ncf2/Selp/Hat1/Tlr2/Hdac1/Actb/Itgam/Itgal/Rac2/Casp4/Plcg2/Map2k2/H2az1/Pik3cd/Plcb2/Tlr8/Tlr7/Selplg/C5ar1/H2ax/Fpr2/Prkcb/Fcgr4/Fcgr3/Ncf4/Clec7a/Fpr3/H2ac24/H3c8/Raf1/Clcn5/Map2k1/Itgb3/Nfkb1/Tlr4/H4c18,49,yes,Severe
Human Diseases,Cancer: overview,mmu05202,Transcriptional misregulation in cancer - Mus musculus (house mouse),52/1643,226/9577,0.230088496,1.341179259,2.361960143,0.013684036,0.045613455,0.031774078,Ngfr/Itgb7/Spi1/Bax/Zbtb17/Cdk9/Gzmb/Fcgr1/Cd40/Etv4/Igf1/Rel/Plau/Myc/Cd86/Cdkn1a/Csf1r/Ddit3/Il6/Il1r2/Traf1/Ccna2/Ntrk1/Nr4a3/Hdac1/Etv6/Itgam/Plat/Birc3/Lyl1/Nfkbiz/Pml/Runx2/Flt3/Bcl11b/Bcl2a1c/Birc2/Bak1/Max/Il2rb/AY761185/Bcl2a1b/H3c8/Bcl2a1d/Bcl2a1a/Pax5/Atf1/Nfkb1/Bmp2k/Cebpe/Nsd2/Trp53,52,yes,Severe
Human Diseases,Endocrine and metabolic disease,mmu04932,Non-alcoholic fatty liver disease - Mus musculus (house mouse),39/1643,162/9577,0.240740741,1.403270891,2.355640282,0.014815316,0.048904927,0.0340669,Cox5a/Fasl/Tgfb1/Bax/Bid/Ndufs3/Sdhb/Mlx/Eif2s1/Cyc1/Tnf/Casp7/Ndufb8/Ddit3/Uqcrc1/Il6/Casp8/Ndufa10/Ndufa8/Traf2/Bcl2l11/Il1b/Cox7b/Ikbkb/Casp3/Cox4i1/Ndufb7/Mlxip/Pik3cd/Cox6a1/Atf4/Uqcrq/Socs3/Ndufs8/Cox5b/Cycs/Ndufb6/Ndufb1/Nfkb1,39,yes,Severe
Genetic Information Processing,Replication and repair,mmu03420,Nucleotide excision repair - Mus musculus (house mouse),17/1643,58/9577,0.293103448,1.708491615,2.46273567,0.015087817,0.049325557,0.034359908,Rpa1/Pole/Pold2/Pole2/Rfc4/Rfc2/Pold4/Pcna/Rpa2/Rfc5/Pole4/Pold3/Polr2f/Rfc3/Pold1/Lig1/Rad23b,17,yes,Severe
