,Domain,Kingdom,Phylum,Class,Order,Family,Genus,Species
ASV608,d__Bacteria,k__norank_d__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae,g__Bacillus,s__unclassified_g__Bacillus
ASV538,d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingomonas,s__unclassified_g__Sphingomonas
ASV81,d__Bacteria,k__norank_d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Weeksellaceae,g__unclassified_f__Weeksellaceae,s__unclassified_f__Weeksellaceae
ASV70,d__Bacteria,k__norank_d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Weeksellaceae,g__Cloacibacterium,s__unclassified_g__Cloacibacterium
ASV314,d__Bacteria,k__norank_d__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae,g__Bacillus,s__unclassified_g__Bacillus
ASV410,d__Bacteria,k__norank_d__Bacteria,p__Patescibacteria,c__Saccharimonadia,o__Saccharimonadales,f__Saccharimonadaceae,g__TM7a,s__uncultured_bacterium_g__TM7a
ASV833,d__Bacteria,k__norank_d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Chitinophagales,f__Chitinophagaceae,g__unclassified_f__Chitinophagaceae,s__unclassified_f__Chitinophagaceae
ASV1036,d__Bacteria,k__norank_d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Weeksellaceae,g__Chryseobacterium,s__unclassified_g__Chryseobacterium
ASV1146,d__Bacteria,k__norank_d__Bacteria,p__Firmicutes,c__Bacilli,o__Paenibacillales,f__Paenibacillaceae,g__Paenibacillus,s__Paenibacillus_physcomitrellae
ASV1250,d__Bacteria,k__norank_d__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae,g__Bacillus,s__unclassified_g__Bacillus
ASV270,d__Bacteria,k__norank_d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Sphingobacteriales,f__Sphingobacteriaceae,g__Sphingobacterium,s__unclassified_g__Sphingobacterium
ASV1086,d__Bacteria,k__norank_d__Bacteria,p__unclassified_k__norank_d__Bacteria,c__unclassified_k__norank_d__Bacteria,o__unclassified_k__norank_d__Bacteria,f__unclassified_k__norank_d__Bacteria,g__unclassified_k__norank_d__Bacteria,s__unclassified_k__norank_d__Bacteria
ASV1076,d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas,s__unclassified_g__Pseudomonas
ASV78,d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingomonas,s__unclassified_g__Sphingomonas
ASV1240,d__Bacteria,k__norank_d__Bacteria,p__Deinococcota,c__Deinococci,o__Deinococcales,f__Deinococcaceae,g__Deinococcus,s__unclassified_g__Deinococcus
ASV221,d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__unclassified_f__Enterobacteriaceae,s__unclassified_f__Enterobacteriaceae
ASV1307,d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__unclassified_f__Enterobacteriaceae,s__unclassified_f__Enterobacteriaceae
ASV1198,d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__Comamonas,s__unclassified_g__Comamonas
ASV1303,d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas,s__unclassified_g__Pseudomonas
ASV939,d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas,s__unclassified_g__Pseudomonas
ASV762,d__Bacteria,k__norank_d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Weeksellaceae,g__unclassified_f__Weeksellaceae,s__unclassified_f__Weeksellaceae
ASV1246,d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingomonas,s__unclassified_g__Sphingomonas
ASV1087,d__Bacteria,k__norank_d__Bacteria,p__Firmicutes,c__Bacilli,o__Exiguobacterales,f__Exiguobacteraceae,g__Exiguobacterium,s__unclassified_g__Exiguobacterium
ASV1153,d__Bacteria,k__norank_d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Sphingobacteriales,f__Sphingobacteriaceae,g__Sphingobacterium,s__unclassified_g__Sphingobacterium
ASV995,d__Bacteria,k__norank_d__Bacteria,p__Firmicutes,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Acetitomaculum,s__uncultured_rumen_bacterium_g__Acetitomaculum
ASV1148,d__Bacteria,k__norank_d__Bacteria,p__Firmicutes,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__Sporobacter,s__uncultured_bacterium_g__Sporobacter
ASV322,d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__Halovulum,s__bacterium_g__Halovulum
ASV835,d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__unclassified_f__Enterobacteriaceae,s__unclassified_f__Enterobacteriaceae
ASV1183,d__Bacteria,k__norank_d__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Enterococcaceae,g__Enterococcus,s__unclassified_g__Enterococcus
ASV1253,d__Bacteria,k__norank_d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Sphingobacteriales,f__Sphingobacteriaceae,g__Sphingobacterium,s__unclassified_g__Sphingobacterium
ASV400,d__Bacteria,k__norank_d__Bacteria,p__Patescibacteria,c__Saccharimonadia,o__Saccharimonadales,f__Saccharimonadaceae,g__TM7a,s__unclassified_g__TM7a
ASV815,d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__unclassified_f__Enterobacteriaceae,s__unclassified_f__Enterobacteriaceae
ASV722,d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas,s__unclassified_g__Pseudomonas
ASV774,d__Bacteria,k__norank_d__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae,g__Bacillus,s__unclassified_g__Bacillus
ASV620,d__Bacteria,k__norank_d__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae,g__Bacillus,s__unclassified_g__Bacillus
ASV1258,d__Bacteria,k__norank_d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Sphingobacteriales,f__Sphingobacteriaceae,g__Sphingobacterium,s__unclassified_g__Sphingobacterium
ASV1045,d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas,s__unclassified_g__Pseudomonas
ASV417,d__Bacteria,k__norank_d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Weeksellaceae,g__Chryseobacterium,s__unclassified_g__Chryseobacterium
ASV151,d__Bacteria,k__norank_d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Weeksellaceae,g__Cloacibacterium,s__unclassified_g__Cloacibacterium
ASV669,d__Bacteria,k__norank_d__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Enterococcaceae,g__Enterococcus,s__unclassified_g__Enterococcus
ASV1316,d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Burkholderia-Caballeronia-Paraburkholderia,s__unclassified_g__Burkholderia-Caballeronia-Paraburkholderia
ASV956,d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Xanthomonadaceae,g__Stenotrophomonas,s__unclassified_g__Stenotrophomonas
ASV1318,d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Beijerinckiaceae,g__1174-901-12,s__unclassified_g__1174-901-12
ASV547,d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__norank_o__Xanthomonadales,g__norank_f__norank_o__Xanthomonadales,s__uncultured_prokaryote_g__norank_f__norank_o__Xanthomonadales
ASV907,d__Bacteria,k__norank_d__Bacteria,p__Firmicutes,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Butyrivibrio,s__unclassified_g__Butyrivibrio
ASV628,d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Beijerinckiaceae,g__Methylobacterium-Methylorubrum,s__unclassified_g__Methylobacterium-Methylorubrum
ASV1320,d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__unclassified_f__Enterobacteriaceae,s__unclassified_f__Enterobacteriaceae
ASV1375,d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas,s__unclassified_g__Pseudomonas
ASV545,d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas,s__unclassified_g__Pseudomonas
ASV1000,d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Beijerinckiaceae,g__Methylobacterium-Methylorubrum,s__unclassified_g__Methylobacterium-Methylorubrum
ASV607,d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Rhizobiaceae,g__unclassified_f__Rhizobiaceae,s__unclassified_f__Rhizobiaceae
ASV453,d__Bacteria,k__norank_d__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae,g__Bacillus,s__unclassified_g__Bacillus
ASV421,d__Bacteria,k__norank_d__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__Streptococcus_danieliae
ASV1315,d__Bacteria,k__norank_d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__unclassified_c__Bacteroidia,f__unclassified_c__Bacteroidia,g__unclassified_c__Bacteroidia,s__unclassified_c__Bacteroidia
ASV1312,d__Bacteria,k__norank_d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Cytophagales,f__Spirosomaceae,g__Emticicia,s__unclassified_g__Emticicia
ASV63,d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingomonas,s__unclassified_g__Sphingomonas
ASV629,d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__Comamonas,s__unclassified_g__Comamonas
ASV600,d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__WD260,f__norank_o__WD260,g__norank_f__norank_o__WD260,s__uncultured_bacterium_g__norank_f__norank_o__WD260
ASV431,d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingomonas,s__unclassified_g__Sphingomonas
ASV154,d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Beijerinckiaceae,g__Methylobacterium-Methylorubrum,s__unclassified_g__Methylobacterium-Methylorubrum
ASV212,d__Bacteria,k__norank_d__Bacteria,p__Actinobacteriota,c__Rubrobacteria,o__Rubrobacterales,f__Rubrobacteriaceae,g__Rubrobacter,s__unclassified_g__Rubrobacter
ASV546,d__Bacteria,k__norank_d__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Lactococcus,s__Lactococcus_raffinolactis
ASV288,d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Escherichia-Shigella,s__unclassified_g__Escherichia-Shigella
ASV908,d__Bacteria,k__norank_d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Acidobacteriaceae_Subgroup_1,g__Granulicella,s__unclassified_g__Granulicella
ASV1245,d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__unclassified_f__Enterobacteriaceae,s__unclassified_f__Enterobacteriaceae
ASV1159,d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Moraxellaceae,g__Acinetobacter,s__unclassified_g__Acinetobacter
ASV1094,d__Bacteria,k__norank_d__Bacteria,p__Firmicutes,c__Bacilli,o__Paenibacillales,f__Paenibacillaceae,g__Paenibacillus,s__unclassified_g__Paenibacillus
ASV146,d__Bacteria,k__norank_d__Bacteria,p__Firmicutes,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__UCG-005,s__unclassified_g__UCG-005
ASV1202,d__Bacteria,k__norank_d__Bacteria,p__Firmicutes,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__Ruminococcus,s__unclassified_g__Ruminococcus
ASV721,d__Bacteria,k__norank_d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Weeksellaceae,g__Chryseobacterium,s__unclassified_g__Chryseobacterium
ASV715,d__Bacteria,k__norank_d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Micrococcales,f__Intrasporangiaceae,g__unclassified_f__Intrasporangiaceae,s__unclassified_f__Intrasporangiaceae
ASV1206,d__Bacteria,k__norank_d__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Enterococcaceae,g__Enterococcus,s__unclassified_g__Enterococcus
ASV903,d__Bacteria,k__norank_d__Bacteria,p__Deinococcota,c__Deinococci,o__Deinococcales,f__Trueperaceae,g__Truepera,s__unclassified_g__Truepera
ASV1100,d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__unclassified_o__Burkholderiales,g__unclassified_o__Burkholderiales,s__unclassified_o__Burkholderiales
ASV1029,d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__unclassified_c__Gammaproteobacteria,f__unclassified_c__Gammaproteobacteria,g__unclassified_c__Gammaproteobacteria,s__unclassified_c__Gammaproteobacteria
ASV1251,d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__unclassified_f__Enterobacteriaceae,s__unclassified_f__Enterobacteriaceae
ASV326,d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Acetobacterales,f__Acetobacteraceae,g__Roseomonas,s__unclassified_g__Roseomonas
ASV894,d__Bacteria,k__norank_d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Weeksellaceae,g__Chryseobacterium,s__unclassified_g__Chryseobacterium
ASV1037,d__Bacteria,k__norank_d__Bacteria,p__unclassified_k__norank_d__Bacteria,c__unclassified_k__norank_d__Bacteria,o__unclassified_k__norank_d__Bacteria,f__unclassified_k__norank_d__Bacteria,g__unclassified_k__norank_d__Bacteria,s__unclassified_k__norank_d__Bacteria
ASV847,d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas,s__unclassified_g__Pseudomonas
ASV710,d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Escherichia-Shigella,s__Malaclemys_terrapin_terrapin
ASV1104,d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas,s__unclassified_g__Pseudomonas
ASV955,d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Beijerinckiaceae,g__Methylobacterium-Methylorubrum,s__unclassified_g__Methylobacterium-Methylorubrum
ASV95,d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__unclassified_c__Gammaproteobacteria,f__unclassified_c__Gammaproteobacteria,g__unclassified_c__Gammaproteobacteria,s__unclassified_c__Gammaproteobacteria
ASV670,d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__unclassified_f__Enterobacteriaceae,s__unclassified_f__Enterobacteriaceae
ASV897,d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__unclassified_o__Burkholderiales,g__unclassified_o__Burkholderiales,s__unclassified_o__Burkholderiales
ASV340,d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__unclassified_f__Rhodobacteraceae,s__unclassified_f__Rhodobacteraceae
ASV781,d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Xanthomonadaceae,g__Stenotrophomonas,s__unclassified_g__Stenotrophomonas
ASV753,d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Beijerinckiaceae,g__Methylobacterium-Methylorubrum,s__unclassified_g__Methylobacterium-Methylorubrum
ASV596,d__Bacteria,k__norank_d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Weeksellaceae,g__unclassified_f__Weeksellaceae,s__unclassified_f__Weeksellaceae
ASV529,d__Bacteria,k__norank_d__Bacteria,p__Firmicutes,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Coprococcus,s__Coprococcus_eutactus
ASV750,d__Bacteria,k__norank_d__Bacteria,p__Firmicutes,c__Bacilli,o__unclassified_c__Bacilli,f__unclassified_c__Bacilli,g__unclassified_c__Bacilli,s__unclassified_c__Bacilli
ASV432,d__Bacteria,k__norank_d__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Enterococcaceae,g__Enterococcus,s__unclassified_g__Enterococcus
ASV96,d__Bacteria,k__norank_d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Micrococcales,f__Micrococcaceae,g__unclassified_f__Micrococcaceae,s__unclassified_f__Micrococcaceae
ASV318,d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__Jannaschia,s__uncultured_Alphaproteobacteria_bacterium_g__Jannaschia
ASV1145,d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Beijerinckiaceae,g__Methylobacterium-Methylorubrum,s__unclassified_g__Methylobacterium-Methylorubrum
ASV433,d__Bacteria,k__norank_d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Weeksellaceae,g__Chryseobacterium,s__unclassified_g__Chryseobacterium
ASV752,d__Bacteria,k__norank_d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Weeksellaceae,g__Chryseobacterium,s__unclassified_g__Chryseobacterium
ASV333,d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingobium,s__unclassified_g__Sphingobium
ASV998,d__Bacteria,k__norank_d__Bacteria,p__Acidobacteriota,c__Vicinamibacteria,o__Vicinamibacterales,f__Vicinamibacteraceae,g__norank_f__Vicinamibacteraceae,s__unclassified_g__norank_f__Vicinamibacteraceae
ASV944,d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__unclassified_f__Enterobacteriaceae,s__unclassified_f__Enterobacteriaceae
ASV1370,d__Bacteria,k__norank_d__Bacteria,p__Firmicutes,c__Bacilli,o__Staphylococcales,f__Staphylococcaceae,g__Staphylococcus,s__unclassified_g__Staphylococcus
ASV86,d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Xanthomonadaceae,g__Stenotrophomonas,s__unclassified_g__Stenotrophomonas
ASV1247,d__Bacteria,k__norank_d__Bacteria,p__unclassified_k__norank_d__Bacteria,c__unclassified_k__norank_d__Bacteria,o__unclassified_k__norank_d__Bacteria,f__unclassified_k__norank_d__Bacteria,g__unclassified_k__norank_d__Bacteria,s__unclassified_k__norank_d__Bacteria
ASV1377,d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__unclassified_f__Comamonadaceae,s__unclassified_f__Comamonadaceae
ASV622,d__Bacteria,k__norank_d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Weeksellaceae,g__Chryseobacterium,s__unclassified_g__Chryseobacterium
ASV627,d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Alcaligenaceae,g__Achromobacter,s__unclassified_g__Achromobacter
ASV1209,d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Escherichia-Shigella,s__unclassified_g__Escherichia-Shigella
ASV997,d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Beijerinckiaceae,g__Methylobacterium-Methylorubrum,s__unclassified_g__Methylobacterium-Methylorubrum
ASV701,d__Bacteria,k__norank_d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,g__Flavobacterium,s__unclassified_g__Flavobacterium
ASV717,d__Bacteria,k__norank_d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Weeksellaceae,g__Chryseobacterium,s__unclassified_g__Chryseobacterium
ASV336,d__Bacteria,k__norank_d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Weeksellaceae,g__Chryseobacterium,s__unclassified_g__Chryseobacterium
ASV667,d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Oxalobacteraceae,g__unclassified_f__Oxalobacteraceae,s__unclassified_f__Oxalobacteraceae
ASV1101,d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas,s__unclassified_g__Pseudomonas
ASV703,d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas,s__unclassified_g__Pseudomonas
ASV284,d__Bacteria,k__norank_d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Alloprevotella,s__uncultured_Bacteroidales_bacterium_g__Alloprevotella
ASV1088,d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Beijerinckiaceae,g__Bosea,s__unclassified_g__Bosea
ASV552,d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Aeromonadales,f__Aeromonadaceae,g__Aeromonas,s__unclassified_g__Aeromonas
ASV90,d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Moraxellaceae,g__Acinetobacter,s__unclassified_g__Acinetobacter
ASV776,d__Bacteria,k__norank_d__Bacteria,p__Firmicutes,c__Bacilli,o__Staphylococcales,f__Staphylococcaceae,g__Staphylococcus,s__unclassified_g__Staphylococcus
ASV287,d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Beijerinckiaceae,g__Methylobacterium-Methylorubrum,s__unclassified_g__Methylobacterium-Methylorubrum
ASV954,d__Bacteria,k__norank_d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Weeksellaceae,g__Chryseobacterium,s__unclassified_g__Chryseobacterium
ASV1256,d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Alcaligenaceae,g__Achromobacter,s__unclassified_g__Achromobacter
ASV1001,d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingomonas,s__unclassified_g__Sphingomonas
ASV530,d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__unclassified_f__Enterobacteriaceae,s__unclassified_f__Enterobacteriaceae
ASV406,d__Bacteria,k__norank_d__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Eubacteriaceae,g__norank_f__Eubacteriaceae,s__uncultured_bacterium_g__norank_f__Eubacteriaceae
ASV286,d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__Comamonas,s__unclassified_g__Comamonas
ASV948,d__Bacteria,k__norank_d__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae,g__Bacillus,s__unclassified_g__Bacillus
ASV398,d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Beijerinckiaceae,g__Methylobacterium-Methylorubrum,s__unclassified_g__Methylobacterium-Methylorubrum
ASV840,d__Bacteria,k__norank_d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Weeksellaceae,g__Chryseobacterium,s__unclassified_g__Chryseobacterium
ASV1308,d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Acetobacterales,f__Acetobacteraceae,g__unclassified_f__Acetobacteraceae,s__unclassified_f__Acetobacteraceae
ASV1095,d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__unclassified_p__Proteobacteria,o__unclassified_p__Proteobacteria,f__unclassified_p__Proteobacteria,g__unclassified_p__Proteobacteria,s__unclassified_p__Proteobacteria
ASV1309,d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Beijerinckiaceae,g__Methylobacterium-Methylorubrum,s__unclassified_g__Methylobacterium-Methylorubrum
ASV328,d__Bacteria,k__norank_d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,g__Maribacter,s__unclassified_g__Maribacter
ASV230,d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__Comamonas,s__unclassified_g__Comamonas
